"Point.Forecast","Lo.95","Hi.95"
2987767.22065001,1686934.92443586,4288599.51686416
3761102.11680346,2460269.82058932,5061934.41301761
2713939.39850428,1413107.10229013,4014771.69471843
3217866.57920715,1917034.282993,4518698.8754213
2579516.01418745,1278683.7179733,3880348.31040159
3103021.76552208,1802189.46930793,4403854.06173623
3473568.28477804,2172735.98856389,4774400.58099218
2823797.19519339,1522964.89897924,4124629.49140754
2695554.99741456,1394722.70120041,3996387.29362871
2650062.30901483,1349230.01280068,3950894.60522898
3022855.0702151,1722022.77400095,4323687.36642925
3113886.04585708,1813053.74964293,4414718.34207123
2843943.92685616,1543111.63064201,4144776.2230703
3059867.82572629,1759035.52951214,4360700.12194044
3770274.64320496,2469442.34699081,5071106.93941911
2406104.39205453,1105272.09584038,3706936.68826868
2469964.97625844,1169132.68004429,3770797.27247258
2988207.84477246,1687375.54855831,4289040.14098661
2870887.02006273,1570054.72384858,4171719.31627688
3091696.13789851,1790863.84168436,4392528.43411266
2268304.99388823,967472.697674079,3569137.29010238
2437360.54886296,1136528.25264881,3738192.84507711
2703644.5759085,1402812.27969435,4004476.87212265
3344854.58364753,2044022.28743338,4645686.87986168
